adversary_task,method,trigger_source,trigger_label,abs_cosine,margin_median_eta0,margin_median_eta1,median_margin_shift,mean_abs_margin_shift,sign_flip_rate,target_rate_eta0,target_rate_eta1,source
CIFAR100,ta,On,BadMerging-On,0.10279573605689662,4.282073020935059,6.36370849609375,2.1908960342407227,2.3923589394309306,0.052222222222222225,0.9597979797979798,0.9716161616161616,analysis/bmr_multitask_compare/CIFAR100/orthogonality_margin_path/endpoint_summary.csv
CIFAR100,ta,KDR_DTK,BMR trigger,0.10279573605689662,-2.4077415466308594,-5.958671569824219,-3.2376413345336914,3.811368216215962,0.10767676767676768,0.10555555555555556,0.06212121212121212,analysis/bmr_multitask_compare/CIFAR100/orthogonality_margin_path/endpoint_summary.csv
CIFAR100,ties,On,BadMerging-On,0.08792610159840718,4.282073020935059,6.730222702026367,2.469265937805176,2.5033009327782523,0.03636363636363636,0.9597979797979798,0.9921212121212121,analysis/bmr_multitask_compare/CIFAR100/orthogonality_margin_path/endpoint_summary.csv
CIFAR100,ties,KDR_DTK,BMR trigger,0.08792610159840718,-2.4077415466308594,-3.8512344360351562,-1.1483078002929688,1.8713752435433744,0.10171717171717172,0.10555555555555556,0.1096969696969697,analysis/bmr_multitask_compare/CIFAR100/orthogonality_margin_path/endpoint_summary.csv
CIFAR100,regmean,On,BadMerging-On,0.0013225759387705549,4.282073020935059,6.463374137878418,2.237666130065918,2.316605893144704,0.040202020202020204,0.9597979797979798,0.9822222222222222,analysis/bmr_multitask_compare/CIFAR100/orthogonality_margin_path/endpoint_summary.csv
CIFAR100,regmean,KDR_DTK,BMR trigger,0.0013225759387705549,-2.4077415466308594,-4.597962379455566,-1.9606351852416992,2.6744993855254817,0.10787878787878788,0.10555555555555556,0.09505050505050505,analysis/bmr_multitask_compare/CIFAR100/orthogonality_margin_path/endpoint_summary.csv
GTSRB,ta,On,BadMerging-On,0.08568720817549491,0.6472272872924805,0.42447948455810547,-0.23040771484375,0.34660053701584925,0.15256087321578504,0.979345088161209,0.8314861460957179,analysis/bmr_multitask_compare/GTSRB/orthogonality_margin_path/endpoint_summary.csv
GTSRB,ta,KDR_DTK,BMR trigger,0.08568720817549491,-3.400149345397949,-6.41517448425293,-2.742889404296875,3.090725272728754,0.0033585222502099076,0.0009235936188077246,0.002434928631402183,analysis/bmr_multitask_compare/GTSRB/orthogonality_margin_path/endpoint_summary.csv
GTSRB,ties,On,BadMerging-On,0.07534068786208326,0.6472272872924805,0.7171354293823242,0.06359195709228516,0.16442327939793405,0.05373635600335852,0.979345088161209,0.9304785894206549,analysis/bmr_multitask_compare/GTSRB/orthogonality_margin_path/endpoint_summary.csv
GTSRB,ties,KDR_DTK,BMR trigger,0.07534068786208326,-3.400149345397949,-5.1143293380737305,-1.5242061614990234,1.8239230292870356,0.005877413937867338,0.0009235936188077246,0.005625524769101596,analysis/bmr_multitask_compare/GTSRB/orthogonality_margin_path/endpoint_summary.csv
GTSRB,regmean,On,BadMerging-On,0.0010771391792920376,0.6472272872924805,0.4846677780151367,-0.16488933563232422,0.27767761688488657,0.13534844668345927,0.979345088161209,0.8460117548278757,analysis/bmr_multitask_compare/GTSRB/orthogonality_margin_path/endpoint_summary.csv
GTSRB,regmean,KDR_DTK,BMR trigger,0.0010771391792920376,-3.400149345397949,-5.644903182983398,-1.9730100631713867,2.3219267481620527,0.0051217464315701094,0.0009235936188077246,0.004534005037783375,analysis/bmr_multitask_compare/GTSRB/orthogonality_margin_path/endpoint_summary.csv
EuroSAT,ta,On,BadMerging-On,0.09035770316101391,5.45871639251709,6.110149383544922,0.6534013748168945,1.3000494408607484,0.010416666666666666,1.0,0.9895833333333334,analysis/bmr_multitask_compare/EuroSAT/orthogonality_margin_path/endpoint_summary.csv
EuroSAT,ta,KDR_DTK,BMR trigger,0.09035770316101391,-1.0158567428588867,-2.5620298385620117,-1.604680061340332,2.3020272771517436,0.105,0.10625,0.07125,analysis/bmr_multitask_compare/EuroSAT/orthogonality_margin_path/endpoint_summary.csv
EuroSAT,ties,On,BadMerging-On,0.07918546822950817,5.45871639251709,7.18525505065918,1.6333723068237305,1.6112256332238515,0.0004166666666666667,1.0,0.9995833333333334,analysis/bmr_multitask_compare/EuroSAT/orthogonality_margin_path/endpoint_summary.csv
EuroSAT,ties,KDR_DTK,BMR trigger,0.07918546822950817,-1.0158567428588867,-1.6571388244628906,-0.6832675933837891,1.2442441050211588,0.08916666666666667,0.10625,0.11041666666666666,analysis/bmr_multitask_compare/EuroSAT/orthogonality_margin_path/endpoint_summary.csv
EuroSAT,regmean,On,BadMerging-On,0.0010623218754431472,5.45871639251709,6.914824485778809,1.4673748016357422,1.5139999381701152,0.00125,1.0,0.99875,analysis/bmr_multitask_compare/EuroSAT/orthogonality_margin_path/endpoint_summary.csv
EuroSAT,regmean,KDR_DTK,BMR trigger,0.0010623218754431472,-1.0158567428588867,-1.703019142150879,-0.7740612030029297,1.3541408371925354,0.09541666666666666,0.10625,0.09416666666666666,analysis/bmr_multitask_compare/EuroSAT/orthogonality_margin_path/endpoint_summary.csv
Cars,ta,On,BadMerging-On,0.07451800544123259,1.1241931915283203,1.0105266571044922,0.06967735290527344,1.729535627728292,0.20639280809089774,0.7948557872393557,0.6189287052066426,analysis/bmr_multitask_compare/Cars/orthogonality_margin_path/endpoint_summary.csv
Cars,ta,KDR_DTK,BMR trigger,0.07451800544123259,-9.055379867553711,-12.03134536743164,-2.918355941772461,3.254949634121902,0.002372331127481583,0.0014983143963041578,0.003121488325633662,analysis/bmr_multitask_compare/Cars/orthogonality_margin_path/endpoint_summary.csv
Cars,ties,On,BadMerging-On,0.06574039091910669,1.1241931915283203,1.6127376556396484,0.5473880767822266,0.8818784932367423,0.08877512798102136,0.7948557872393557,0.7562741915345237,analysis/bmr_multitask_compare/Cars/orthogonality_margin_path/endpoint_summary.csv
Cars,ties,KDR_DTK,BMR trigger,0.06574039091910669,-9.055379867553711,-11.969301223754883,-2.777933120727539,2.9205376409177464,0.0014983143963041578,0.0014983143963041578,0.00249719066050693,analysis/bmr_multitask_compare/Cars/orthogonality_margin_path/endpoint_summary.csv
Cars,regmean,On,BadMerging-On,0.0006009051462228848,1.1241931915283203,1.5892696380615234,0.5502529144287109,1.0268628473718866,0.1031339742789362,0.7948557872393557,0.740167311774254,analysis/bmr_multitask_compare/Cars/orthogonality_margin_path/endpoint_summary.csv
Cars,regmean,KDR_DTK,BMR trigger,0.0006009051462228848,-9.055379867553711,-11.975220680236816,-2.8348464965820312,2.9883660087723576,0.0017480334623548508,0.0014983143963041578,0.0027469097265576227,analysis/bmr_multitask_compare/Cars/orthogonality_margin_path/endpoint_summary.csv
SUN397,ta,On,BadMerging-On,0.07753971267082288,2.0393733978271484,1.6405305862426758,-0.37506103515625,1.2524685382361365,0.16353535353535353,0.8518181818181818,0.7514141414141414,analysis/bmr_multitask_compare/SUN397/orthogonality_margin_path/endpoint_summary.csv
SUN397,ta,KDR_DTK,BMR trigger,0.07753971267082288,-7.131690979003906,-12.29932975769043,-4.932219505310059,5.0677549777368105,0.017323232323232324,0.018636363636363635,0.0034343434343434343,analysis/bmr_multitask_compare/SUN397/orthogonality_margin_path/endpoint_summary.csv
